,10,20,40,80
114 -> 97  -> 108 -> 102 -> 104,32397.0,32423.0,32529.0,34690.0
108 -> 114 -> 97  -> 115 -> 113,32400.0,32440.0,32723.0,
107 -> 96  -> 108 -> 114 -> 97 ,32435.0,32441.0,32637.0,33942.0
111 -> 112 -> 113 -> 103 -> 109,32446.0,32463.0,32468.0,34361.0
104 -> 99  -> 100 -> 111 -> 109,32453.0,32496.0,32718.0,33869.0
103 -> 113 -> 96  -> 107 -> 98 ,32464.0,32486.0,32648.0,33664.0
114 -> 99  -> 115 -> 108 -> 101,32511.0,32563.0,32651.0,33832.0
109 -> 104 -> 100 -> 111 -> 99 ,32520.0,32535.0,32568.0,33507.0
114 -> 97  -> 108 -> 115 -> 102,32523.0,32549.0,32615.0,34398.0
103 -> 113 -> 96  -> 98  -> 107,32523.0,32545.0,32606.0,34369.0
111 -> 109 -> 97  -> 101 -> 104,32527.0,32527.0,32707.0,33423.0
104 -> 111 -> 100 -> 109 -> 106,32544.0,32569.0,32646.0,33913.0
109 -> 107 -> 112 -> 113 -> 103,32545.0,32598.0,32648.0,34105.0
115 -> 108 -> 114 -> 98  -> 97 ,32550.0,32566.0,32595.0,34609.0
114 -> 97  -> 115 -> 108 -> 96 ,32551.0,32562.0,32785.0,33926.0
104 -> 101 -> 97  -> 111 -> 109,32565.0,32572.0,32641.0,33605.0
112 -> 96  -> 107 -> 113 -> 103,32576.0,32637.0,32791.0,33425.0
113 -> 109 -> 107 -> 96  -> 98 ,32581.0,32620.0,32712.0,34865.0
96  -> 112 -> 107 -> 109 -> 103,32615.0,32644.0,32644.0,33480.0
96  -> 115 -> 108 -> 114 -> 97 ,32624.0,32632.0,32718.0,34868.0
115 -> 98  -> 96  -> 107 -> 104,32628.0,32644.0,32669.0,34653.0
108 -> 114 -> 97  -> 115 -> 99 ,32645.0,32763.0,32855.0,33933.0
102 -> 113 -> 103 -> 111 -> 100,32658.0,32740.0,33088.0,34564.0
99  -> 104 -> 111 -> 109 -> 100,32660.0,32691.0,32691.0,33248.0
96  -> 115 -> 113 -> 108 -> 100,32682.0,32816.0,32918.0,
103 -> 113 -> 111 -> 100 -> 104,32711.0,32816.0,32930.0,34585.0
106 -> 107 -> 113 -> 109 -> 104,32713.0,32751.0,32758.0,34535.0
108 -> 115 -> 97  -> 114 -> 99 ,32715.0,32738.0,32738.0,34417.0
104 -> 98  -> 115 -> 114 -> 97 ,32719.0,32724.0,32765.0,
103 -> 113 -> 107 -> 96  -> 109,32737.0,32768.0,32768.0,
112 -> 102 -> 113 -> 100 -> 111,32738.0,33045.0,33045.0,
108 -> 115 -> 114 -> 98  -> 97 ,32755.0,32766.0,32815.0,34681.0
96  -> 108 -> 97  -> 115 -> 114,32759.0,32833.0,32945.0,34222.0
114 -> 97  -> 115 -> 108 -> 107,32763.0,32798.0,32859.0,34694.0
104 -> 107 -> 109 -> 113 -> 106,32786.0,32810.0,32940.0,34604.0
104 -> 111 -> 100 -> 97  -> 106,32790.0,32845.0,33102.0,34223.0
114 -> 108 -> 98  -> 97  -> 102,32805.0,32840.0,33014.0,34865.0
96  -> 103 -> 113 -> 104 -> 109,32818.0,32856.0,32992.0,34287.0
112 -> 102 -> 113 -> 103 -> 115,32828.0,32889.0,33692.0,
99  -> 104 -> 111 -> 100 -> 106,32829.0,32958.0,33002.0,33489.0
112 -> 108 -> 103 -> 115 -> 107,32832.0,32834.0,33103.0,34235.0
103 -> 113 -> 104 -> 109 -> 98 ,32841.0,32861.0,32919.0,34991.0
113 -> 103 -> 104 -> 107 -> 96 ,32843.0,32886.0,32947.0,33970.0
109 -> 104 -> 111 -> 99  -> 100,32849.0,32873.0,32992.0,34202.0
108 -> 115 -> 107 -> 103 -> 109,32850.0,32875.0,32968.0,34473.0
114 -> 115 -> 108 -> 102 -> 98 ,32851.0,32882.0,32921.0,34072.0
109 -> 111 -> 97  -> 101 -> 104,32859.0,32880.0,32935.0,34063.0
115 -> 100 -> 113 -> 114 -> 102,32860.0,32923.0,32952.0,34619.0
102 -> 103 -> 113 -> 100 -> 111,32869.0,32953.0,33143.0,
115 -> 108 -> 114 -> 102 -> 98 ,32869.0,32879.0,32911.0,34205.0
115 -> 114 -> 98  -> 97  -> 102,32879.0,32897.0,33011.0,34945.0
104 -> 115 -> 107 -> 108 -> 102,32882.0,32896.0,32933.0,34606.0
99  -> 104 -> 111 -> 100 -> 97 ,32899.0,32963.0,33184.0,34105.0
108 -> 115 -> 114 -> 102 -> 98 ,32902.0,32912.0,32959.0,34143.0
115 -> 100 -> 108 -> 114 -> 102,32911.0,32935.0,33050.0,34856.0
109 -> 99  -> 104 -> 111 -> 100,32923.0,32946.0,32946.0,33957.0
107 -> 109 -> 113 -> 103 -> 112,32932.0,32967.0,32967.0,34118.0
115 -> 100 -> 108 -> 102 -> 114,32943.0,32968.0,33038.0,34994.0
106 -> 99  -> 100 -> 111 -> 109,32945.0,32957.0,33199.0,34772.0
112 -> 96  -> 103 -> 113 -> 107,32950.0,32990.0,33023.0,34791.0
102 -> 113 -> 111 -> 100 -> 99 ,32960.0,33133.0,33380.0,
104 -> 100 -> 111 -> 109 -> 99 ,32961.0,32984.0,33069.0,33895.0
113 -> 109 -> 107 -> 98  -> 96 ,32983.0,32994.0,33165.0,34571.0
96  -> 103 -> 113 -> 107 -> 98 ,32998.0,32998.0,33270.0,34502.0
108 -> 102 -> 114 -> 115 -> 99 ,33002.0,33054.0,33125.0,
99  -> 100 -> 104 -> 111 -> 109,33005.0,33019.0,33105.0,34050.0
98  -> 109 -> 99  -> 100 -> 111,33022.0,33031.0,33112.0,
108 -> 114 -> 98  -> 97  -> 102,33036.0,33048.0,33260.0,34875.0
108 -> 114 -> 100 -> 111 -> 109,33039.0,33102.0,33191.0,
96  -> 113 -> 103 -> 104 -> 109,33047.0,33078.0,33078.0,34539.0
100 -> 113 -> 109 -> 104 -> 112,33049.0,33073.0,33073.0,
113 -> 100 -> 98  -> 109 -> 112,33058.0,33107.0,33150.0,34689.0
108 -> 97  -> 114 -> 115 -> 98 ,33071.0,33147.0,33397.0,
107 -> 109 -> 103 -> 113 -> 104,33087.0,33148.0,33196.0,34727.0
108 -> 114 -> 100 -> 111 -> 104,33089.0,33089.0,33734.0,
112 -> 113 -> 102 -> 111 -> 100,33099.0,33186.0,,
115 -> 114 -> 108 -> 98  -> 102,33102.0,33109.0,33132.0,34526.0
107 -> 96  -> 98  -> 111 -> 105,33112.0,33160.0,33197.0,34257.0
103 -> 113 -> 109 -> 107 -> 96 ,33113.0,33139.0,33235.0,34941.0
114 -> 97  -> 108 -> 104 -> 115,33121.0,33206.0,33273.0,
111 -> 112 -> 113 -> 109 -> 103,33126.0,33132.0,33288.0,
106 -> 112 -> 113 -> 109 -> 103,33130.0,33179.0,33237.0,34505.0
104 -> 111 -> 99  -> 100 -> 109,33178.0,33193.0,33316.0,34276.0
114 -> 97  -> 108 -> 111 -> 105,33193.0,33214.0,33403.0,
115 -> 114 -> 108 -> 97  -> 102,33208.0,33253.0,33253.0,
106 -> 99  -> 104 -> 111 -> 100,33214.0,33225.0,33374.0,34189.0
97  -> 114 -> 108 -> 104 -> 115,33218.0,33261.0,33379.0,
106 -> 100 -> 99  -> 104 -> 109,33219.0,33219.0,33219.0,34986.0
96  -> 112 -> 109 -> 113 -> 103,33235.0,33320.0,33320.0,33726.0
104 -> 115 -> 98  -> 96  -> 107,33240.0,33287.0,33288.0,
111 -> 96  -> 113 -> 103 -> 109,33261.0,33339.0,33435.0,
96  -> 107 -> 113 -> 103 -> 109,33270.0,33328.0,33328.0,34105.0
103 -> 113 -> 111 -> 100 -> 99 ,33276.0,33331.0,33570.0,
104 -> 101 -> 109 -> 97  -> 111,33288.0,33289.0,33397.0,
112 -> 113 -> 103 -> 107 -> 98 ,33303.0,33348.0,33460.0,
