,10,20,40,80
104 -> 98  -> 115 -> 97  -> 114,32292.120213982384,32305.497933012095,32346.067994879217,34993.93889011086
100 -> 115 -> 108 -> 114 -> 102,32307.264527778774,32363.599032272334,32477.73988493348,34594.674430602754
100 -> 115 -> 108 -> 102 -> 114,32323.63954616727,32373.401551277548,32439.754877165808,34567.63498444547
115 -> 113 -> 100 -> 114 -> 102,32349.351477904194,32349.351477904194,32460.639702765475,33687.85694250409
99  -> 111 -> 100 -> 106 -> 97 ,32379.243458775312,32414.739167356303,32608.551605401437,33796.03458395212
114 -> 97  -> 108 -> 102 -> 104,32397.468433555292,32423.910411283126,32529.380645783982,34690.41810188745
108 -> 114 -> 97  -> 115 -> 113,32400.27313317119,32440.149976404377,32723.18164646886,
107 -> 96  -> 108 -> 114 -> 97 ,32435.814372777313,32441.946934051775,32637.767569712425,33942.531396975275
111 -> 112 -> 113 -> 103 -> 109,32446.103545182286,32463.83841499606,32468.95178346499,34361.54726551353
104 -> 99  -> 100 -> 111 -> 109,32453.82225511789,32496.389582824482,32718.626654366282,33869.733232611456
103 -> 113 -> 96  -> 107 -> 98 ,32464.95559717977,32486.040783481614,32648.618657785155,33664.584996288824
114 -> 99  -> 115 -> 108 -> 101,32511.38335237709,32563.25044856665,32651.379917138314,33832.058292627014
109 -> 104 -> 100 -> 111 -> 99 ,32520.743085404763,32535.30894418659,32568.50123541266,33507.684444206156
103 -> 113 -> 96  -> 98  -> 107,32523.04568591768,32545.34862807239,32606.638646578733,34369.83475267218
114 -> 97  -> 108 -> 115 -> 102,32523.985191330637,32549.793106063884,32615.53397152274,34398.90670924335
111 -> 109 -> 97  -> 101 -> 104,32527.46845176206,32527.46845176206,32707.83973154864,33423.022494929384
104 -> 111 -> 100 -> 109 -> 106,32544.828238530812,32569.154848104678,32646.240735011685,33913.092271668356
109 -> 107 -> 112 -> 113 -> 103,32545.065165635086,32598.67530565204,32648.779035621337,34105.54598299945
115 -> 108 -> 114 -> 98  -> 97 ,32550.450750061133,32566.053533172493,32595.418683368967,34609.89184160737
114 -> 97  -> 115 -> 108 -> 96 ,32551.70690857754,32562.609529598878,32785.66112535476,33926.14355488065
104 -> 101 -> 97  -> 111 -> 109,32565.400907442727,32572.0239496265,32641.596253265634,33605.657044654436
112 -> 96  -> 107 -> 113 -> 103,32576.35277447813,32637.046532356675,32791.20184408267,33425.51222798496
